大区,国区,国家,工厂编码,工厂名称,计划节点编码,计划节点名称,计划节点类型,物料编码,物料描述,频次类型,M月份,M月生效算法,M月算法解释说明,M月预测值,M月实际值,M月准确度
非洲大区事业部(R05),南非国区*(N022),莫桑比克(MZ),CV01,三一莫桑比克工厂,CV01_8001,莫桑比克国家仓,CDC,SSY005230531,垫片SY215C.3.4.1-6A,不动件,202512,加权移动平均法,,0.7692,0.0,0.0
非洲大区事业部(R05),南非国区*(N022),莫桑比克(MZ),CV01,三一莫桑比克工厂,CV01_8001,莫桑比克国家仓,CDC,SSY005208583,卡簧SY215C.3.4.1-15C,不动件,202512,加权移动平均法,,0.7692,0.0,0.0
非洲大区事业部(R05),南非国区*(N022),莫桑比克(MZ),CV01,三一莫桑比克工厂,CV01_8001,莫桑比克国家仓,CDC,SSY005208474,齿销SY215C.3.4.1-14C,不动件,202512,加权移动平均法,,0.7692,0.0,0.0
非洲大区事业部(R05),南非国区*(N022),莫桑比克(MZ),CV01,三一莫桑比克工厂,CV01_8001,莫桑比克国家仓,CDC,60203802,电缆22944148 VOLVO,,202512,加权移动平均法,,0.1026,0.0,0.0
非洲大区事业部(R05),南非国区*(N022),莫桑比克(MZ),CV01,三一莫桑比克工厂,CV01_8001,莫桑比克国家仓,CDC,60201220,油水分离器滤芯R010327,不动件,202512,加权移动平均法,,1.5385,0.0,0.0
非洲大区事业部(R05),南非国区*(N022),莫桑比克(MZ),CV01,三一莫桑比克工厂,CV01_8001,莫桑比克国家仓,CDC,60199267,控制单元20959036,,202512,加权移动平均法,,0.1026,0.0,0.0
非洲大区事业部(R05),南非国区*(N022),莫桑比克(MZ),CV01,三一莫桑比克工厂,CV01_8001,莫桑比克国家仓,CDC,60033332,可编程控制器CR0200 IFM 80点,,202512,加权移动平均法,,0.1026,0.0,0.0
非洲大区事业部(R05),南非国区*(N022),莫桑比克(MZ),CV01,三一莫桑比克工厂,CV01_8001,莫桑比克国家仓,CDC,11912709P,斗齿SY215C.3.4.1-11,不动件,202512,加权移动平均法,,0.7692,0.0,0.0
非洲大区事业部(R05),南非国区*(N022),莫桑比克(MZ),CV01,三一莫桑比克工厂,CV01_8002,MOTA项目寄售库,FDC,10877920,刀片PQ190C.5-1,慢流件,202512,加权移动平均法,,0.2308,0.0,0.0
非洲大区事业部(R05),南非国区*(N022),莫桑比克(MZ),CV01,三一莫桑比克工厂,CV01_8002,MOTA项目寄售库,FDC,10841438,齿套PQ190C.39.1.5-2,慢流件,202512,加权移动平均法,,0.5769,0.0,0.0
非洲大区事业部(R05),南非国区*(N022),南非(ZA),BY01,三一南非工厂,BY01_8001,南非中心仓,CDC,60086934,USH密封圈80×90×6,慢流件,202512,自动自回归积分滑动平均模型,,0.0009,0.0,0.0
非洲大区事业部(R05),南非国区*(N022),南非(ZA),BY01,三一南非工厂,BY01_8001,南非中心仓,CDC,60086933,USH密封圈155×170×9,慢流件,202512,移动平均法,,0.0,0.0,100.0
非洲大区事业部(R05),南非国区*(N022),南非(ZA),BY01,三一南非工厂,BY01_8001,南非中心仓,CDC,60086932,USH密封圈145×160×9,慢流件,202512,自动自回归积分滑动平均模型,,0.0006,0.0,0.0
非洲大区事业部(R05),南非国区*(N022),南非(ZA),BY01,三一南非工厂,BY01_8001,南非中心仓,CDC,60086931,USH密封圈106×120×8.5,慢流件,202512,移动平均法,,0.0,0.0,100.0
非洲大区事业部(R05),南非国区*(N022),南非(ZA),BY01,三一南非工厂,BY01_8001,南非中心仓,CDC,60086354,线夹SANY-φ19,慢流件,202512,间歇性预测,,0.0833,0.0,0.0
非洲大区事业部(R05),南非国区*(N022),南非(ZA),BY01,三一南非工厂,BY01_8001,南非中心仓,CDC,60086040,双联齿轮泵组P097-16/4.5,慢流件,202512,自动自回归积分滑动平均模型,,0.0,0.0,100.0
非洲大区事业部(R05),南非国区*(N022),南非(ZA),BY01,三一南非工厂,BY01_8001,南非中心仓,CDC,60085580K,铲斗油缸维修包JSY36.5-CD-wxb,慢流件,202512,自动自回归积分滑动平均模型,,0.0,0.0,100.0
非洲大区事业部(R05),南非国区*(N022),南非(ZA),BY01,三一南非工厂,BY01_8001,南非中心仓,CDC,60085462,驾驶室门窗YZ.W-H-012,慢流件,202512,自动θ预测方法,,0.0,0.0,100.0
非洲大区事业部(R05),南非国区*(N022),南非(ZA),BY01,三一南非工厂,BY01_8001,南非中心仓,CDC,60085104,变速器9JS150TA-BLPT,慢流件,202512,自动指数平滑状态空间模型,,0.0001,0.0,0.0
非洲大区事业部(R05),南非国区*(N022),南非(ZA),BY01,三一南非工厂,BY01_8001,南非中心仓,CDC,60084442,电加热棒JRB13×950,慢流件,202512,间歇性需求预测方法,,0.0,0.0,100.0
非洲大区事业部(R05),南非国区*(N022),南非(ZA),BY01,三一南非工厂,BY01_8001,南非中心仓,CDC,60084327,发动机皮带A9069933696,慢流件,202512,移动平均法,,1.8182,0.0,0.0
非洲大区事业部(R05),南非国区*(N022),南非(ZA),BY01,三一南非工厂,BY01_8001,南非中心仓,CDC,60083173,行程(限位)开关L-S-1NO+1NC-9mm-小型3110,不动件,202512,自动自回归积分滑动平均模型,,0.0013,2.0,0.07
非洲大区事业部(R05),南非国区*(N022),南非(ZA),BY01,三一南非工厂,BY01_8001,南非中心仓,CDC,60082993,O形圈201700,慢流件,202512,移动平均法,,0.0,0.0,100.0
非洲大区事业部(R05),南非国区*(N022),南非(ZA),BY01,三一南非工厂,BY01_8001,南非中心仓,CDC,60082915,O形圈84×2.0JISB2401 氟橡胶,慢流件,202512,移动平均法,,0.0,0.0,100.0
非洲大区事业部(R05),南非国区*(N022),南非(ZA),BY01,三一南非工厂,BY01_8001,南非中心仓,CDC,60082914,O形圈425×7GB3452.1,慢流件,202512,自动指数平滑状态空间模型,,0.0008,0.0,0.0
非洲大区事业部(R05),南非国区*(N022),南非(ZA),BY01,三一南非工厂,BY01_8001,南非中心仓,CDC,60082913,O形圈109×2.0氟橡胶JISB2401,慢流件,202512,移动平均法,,0.0,0.0,100.0
非洲大区事业部(R05),南非国区*(N022),南非(ZA),BY01,三一南非工厂,BY01_8001,南非中心仓,CDC,60082790,蜂鸣器XB2-BSBC 灰色,不动件,202512,自动θ预测方法,,0.4448,0.0,0.0
非洲大区事业部(R05),南非国区*(N022),南非(ZA),BY01,三一南非工厂,BY01_8001,南非中心仓,CDC,60082687,吸油磁性滤芯φ92/φ50×90,中流件,202512,自动指数平滑状态空间模型,,1.5136,6.0,25.23
非洲大区事业部(R05),南非国区*(N022),南非(ZA),BY01,三一南非工厂,BY01_8001,南非中心仓,CDC,60082686,吸油磁性滤芯φ76/φ40×90,快流件,202512,自动指数平滑状态空间模型,,1.4709,2.0,73.55
非洲大区事业部(R05),南非国区*(N022),南非(ZA),BY01,三一南非工厂,BY01_8001,南非中心仓,CDC,60082530,减震器J-14056-28 CC,慢流件,202512,自动指数平滑状态空间模型,,0.0013,0.0,0.0
非洲大区事业部(R05),南非国区*(N022),南非(ZA),BY01,三一南非工厂,BY01_8001,南非中心仓,CDC,60082127K,浮动油封JS3185BJS3185B2100,不动件,202512,间歇性需求预测方法,,0.3165,0.0,0.0
非洲大区事业部(R05),南非国区*(N022),南非(ZA),BY01,三一南非工厂,BY01_8001,南非中心仓,CDC,60081973,螺钉M12×30JISB1176 12.9,慢流件,202512,移动平均法,,0.0,0.0,100.0
非洲大区事业部(R05),南非国区*(N022),南非(ZA),BY01,三一南非工厂,BY01_8001,南非中心仓,CDC,60081917X,比例减压阀KDRDE5K-31/30C50-140,快流件,202512,自动θ预测方法,,2.6596,0.0,0.0
非洲大区事业部(R05),南非国区*(N022),南非(ZA),BY01,三一南非工厂,BY01_8001,南非中心仓,CDC,60080859K,前活动窗WA5201000,慢流件,202512,间歇性预测,,0.0833,0.0,0.0
