大区,国区,国家,工厂编码,工厂名称,计划节点编码,计划节点名称,计划节点类型,物料编码,物料描述,频次类型,M月份,M月生效算法,M月算法解释说明,M月预测值,M月实际值,M月准确度
非洲大区事业部(R05),南非国区*(N022),莫桑比克(MZ),CV01,三一莫桑比克工厂,CV01_8001,莫桑比克国家仓,CDC,60203802,电缆22944148 VOLVO,,202511,移动平均法,,0.0,0.0,100.0
非洲大区事业部(R05),南非国区*(N022),莫桑比克(MZ),CV01,三一莫桑比克工厂,CV01_8001,莫桑比克国家仓,CDC,60199267,控制单元20959036,,202511,移动平均法,,0.0,0.0,100.0
非洲大区事业部(R05),南非国区*(N022),莫桑比克(MZ),CV01,三一莫桑比克工厂,CV01_8001,莫桑比克国家仓,CDC,60033332,可编程控制器CR0200 IFM 80点,,202511,移动平均法,,0.0,0.0,100.0
非洲大区事业部(R05),南非国区*(N022),莫桑比克(MZ),CV01,三一莫桑比克工厂,CV01_8002,MOTA项目寄售库,FDC,10877920,刀片PQ190C.5-1,,202511,移动平均法,,0.0,0.0,100.0
非洲大区事业部(R05),南非国区*(N022),莫桑比克(MZ),CV01,三一莫桑比克工厂,CV01_8002,MOTA项目寄售库,FDC,10841438,齿套PQ190C.39.1.5-2,,202511,移动平均法,,0.0,0.0,100.0
非洲大区事业部(R05),南非国区*(N022),南非(ZA),BY01,三一南非工厂,BY01_8001,南非中心仓,CDC,24001742,胶管2BK20-DKOL-DKOL45-900,慢流件,202511,移动平均法,,0.0,0.0,100.0
非洲大区事业部(R05),南非国区*(N022),南非(ZA),BY01,三一南非工厂,BY01_8001,南非中心仓,CDC,24001729,胶管总成2BK20-DKOL-DKOL45-2200,慢流件,202511,移动平均法,,0.0,0.0,100.0
非洲大区事业部(R05),南非国区*(N022),南非(ZA),BY01,三一南非工厂,BY01_8001,南非中心仓,CDC,24001726,胶管2BK20-DKOL-DKOL45--1800,慢流件,202511,移动平均法,,0.0,0.0,100.0
非洲大区事业部(R05),南非国区*(N022),南非(ZA),BY01,三一南非工厂,BY01_8001,南非中心仓,CDC,24001721,胶管2BK20-DKOL-DKOL45-1100,慢流件,202511,移动平均法,,0.0,0.0,100.0
非洲大区事业部(R05),南非国区*(N022),南非(ZA),BY01,三一南非工厂,BY01_8001,南非中心仓,CDC,24001710,胶管总成2BK20-DKOL-3600,慢流件,202511,移动平均法,,0.0,0.0,100.0
非洲大区事业部(R05),南非国区*(N022),南非(ZA),BY01,三一南非工厂,BY01_8001,南非中心仓,CDC,24001707,胶管总成2BK20-DKOL-3000,慢流件,202511,移动平均法,,0.0,0.0,100.0
非洲大区事业部(R05),南非国区*(N022),南非(ZA),BY01,三一南非工厂,BY01_8001,南非中心仓,CDC,24001701,胶管总成2BK20-DKOL--2500,慢流件,202511,移动平均法,,0.0,0.0,100.0
非洲大区事业部(R05),南非国区*(N022),南非(ZA),BY01,三一南非工厂,BY01_8001,南非中心仓,CDC,24001697,胶管总成2BK20-DKOL-2000,慢流件,202511,移动平均法,,0.0,0.0,100.0
非洲大区事业部(R05),南非国区*(N022),南非(ZA),BY01,三一南非工厂,BY01_8001,南非中心仓,CDC,24001688,胶管总成2BK20-DKOL-1400,慢流件,202511,移动平均法,,0.0,0.0,100.0
非洲大区事业部(R05),南非国区*(N022),南非(ZA),BY01,三一南非工厂,BY01_8001,南非中心仓,CDC,24001653,胶管总成2BK12-DKOL-DKOL90-2500,慢流件,202511,移动平均法,,0.0,0.0,100.0
非洲大区事业部(R05),南非国区*(N022),南非(ZA),BY01,三一南非工厂,BY01_8001,南非中心仓,CDC,24001649,胶管2BK12-DKOL-DKOL45-1000,慢流件,202511,移动平均法,,0.0,0.0,100.0
非洲大区事业部(R05),南非国区*(N022),南非(ZA),BY01,三一南非工厂,BY01_8001,南非中心仓,CDC,24001631,胶管总成2BK12-DKOL-DKOL90-2800,慢流件,202511,移动平均法,,0.0,0.0,100.0
非洲大区事业部(R05),南非国区*(N022),南非(ZA),BY01,三一南非工厂,BY01_8001,南非中心仓,CDC,24001623,胶管总成2BK12-DKOL-DKOL90-1900,慢流件,202511,移动平均法,,0.0,0.0,100.0
非洲大区事业部(R05),南非国区*(N022),南非(ZA),BY01,三一南非工厂,BY01_8001,南非中心仓,CDC,24001621,胶管总成2BK12-DKOL-DKOL90-1700,慢流件,202511,移动平均法,,0.0,0.0,100.0
非洲大区事业部(R05),南非国区*(N022),南非(ZA),BY01,三一南非工厂,BY01_8001,南非中心仓,CDC,24001620,胶管总成2BK12-DKOL-DKOL90-1600,慢流件,202511,自动自回归积分滑动平均模型,,0.0,0.0,100.0
非洲大区事业部(R05),南非国区*(N022),南非(ZA),BY01,三一南非工厂,BY01_8001,南非中心仓,CDC,24001602,胶管2BK12-DKOL-DKOL45--2200,慢流件,202511,移动平均法,,0.0,0.0,100.0
非洲大区事业部(R05),南非国区*(N022),南非(ZA),BY01,三一南非工厂,BY01_8001,南非中心仓,CDC,24001597,胶管总成2BK12-DKOL-DKOL45-1800,慢流件,202511,移动平均法,,0.0,0.0,100.0
非洲大区事业部(R05),南非国区*(N022),南非(ZA),BY01,三一南非工厂,BY01_8001,南非中心仓,CDC,24001581,胶管总成2BK12-DKOL-600,慢流件,202511,自动θ预测方法,,1.116,0.0,0.0
非洲大区事业部(R05),南非国区*(N022),南非(ZA),BY01,三一南非工厂,BY01_8001,南非中心仓,CDC,24001563,胶管总成2BK12-DKOL-1900,慢流件,202511,移动平均法,,0.0,0.0,100.0
非洲大区事业部(R05),南非国区*(N022),南非(ZA),BY01,三一南非工厂,BY01_8001,南非中心仓,CDC,24001557,胶管总成2BK12-DKOL-1400,慢流件,202511,移动平均法,,0.0,0.0,100.0
非洲大区事业部(R05),南非国区*(N022),南非(ZA),BY01,三一南非工厂,BY01_8001,南非中心仓,CDC,24001555,胶管总成2BK12-DKOL-1200,慢流件,202511,移动平均法,,0.0,0.0,100.0
非洲大区事业部(R05),南非国区*(N022),南非(ZA),BY01,三一南非工厂,BY01_8001,南非中心仓,CDC,24001403,三通接头TRLM30-LM22-LM30,慢流件,202511,移动平均法,,0.0,0.0,100.0
非洲大区事业部(R05),南非国区*(N022),南非(ZA),BY01,三一南非工厂,BY01_8001,南非中心仓,CDC,24001401,三通组合接头TR08/12/08LCFX,慢流件,202511,移动平均法,,0.0,0.0,100.0
非洲大区事业部(R05),南非国区*(N022),南非(ZA),BY01,三一南非工厂,BY01_8001,南非中心仓,CDC,24001395,管接头RI3/4EDX1/4A3C,慢流件,202511,移动平均法,,0.0,0.0,100.0
非洲大区事业部(R05),南非国区*(N022),南非(ZA),BY01,三一南非工厂,BY01_8001,南非中心仓,CDC,24001390,四通K08LA3CX,慢流件,202511,自动自回归积分滑动平均模型,,0.0,0.0,100.0
非洲大区事业部(R05),南非国区*(N022),南非(ZA),BY01,三一南非工厂,BY01_8001,南非中心仓,CDC,24001382,直通接头GRLM16-LM14,慢流件,202511,自动自回归积分滑动平均模型,,0.0,0.0,100.0
非洲大区事业部(R05),南非国区*(N022),南非(ZA),BY01,三一南非工厂,BY01_8001,南非中心仓,CDC,24001376,端直通接头GESG1-SM42,慢流件,202511,自动指数平滑状态空间模型,,0.0017,0.0,0.0
非洲大区事业部(R05),南非国区*(N022),南非(ZA),BY01,三一南非工厂,BY01_8001,南非中心仓,CDC,24001370,端直通接头GE22LR3/4KEGA3CX,中流件,202511,加权移动平均法,,0.619,0.0,0.0
